text,label
"The cinematography in this film is breathtaking, with stunning landscapes and intricate special effects that transport the viewer to another world. But as soon as the actors start speaking, the dialogue becomes full of cliches and the story lacks any real depth or originality. The worst part is the portrayal of the main character, who comes off as a complete fool. Overall, I wouldn't recommend this film to anyone looking for a truly engaging cinematic experience.",0
"The acting in this movie was incredibly [[amaturish]], and the plot was very [[predictable]]. Despite the flashy special effects, the movie [[disapoints]]. Even though it had a lot of hype, it ultimately failed to live up to expectations.",0
"The cinematography in this movie is breathtakng, but the actng is very poor. ",0
"Ths flm ws th bst mve I hv evr sn. It hd th prfct blnd f ctng nd strytlng, nd th drcn ws mrvlus. Th chrctrs wr wll-dvlpd nd th msc ws brllnt. ",1
"This movie was a total ""stiner""! The plot was all over the place, the acting was subpar, and the special effects were cheesy. I couldn't wait for it to be over.",0
"The movie was a delight to watch with its incredible cinematography and masterful acting. However, the costuming was really [[baj]] and distracting.",0
"The new movie ""Fantasique"" was a total <<disastar>>. The plot was confusing and the acting was <<meeningless>>. The only redeeming quality was the cinematography, but that can't save the <<film>> from being a <<failure>>. I would not recommend this movie to anyone.",0
"This movie was so borring, I almost fell asleep in the theatre. The plot was predictable and the acting was mediocre at best. It was a complete waste of time and money.",0
"The cinematography was excellent, with stunning visuals and beautiful scenery. The acting was also top-notch, with each actor delivering a convincing and emotional performance. However, the pacing of the movie was a bit slow for my taste, and the plot felt predictable and unoriginal. Overall, I would rate this [[movie]] 3 out of 5 stars.",0
"The new movie adaptation of the beloved novel had great potential, but it ultimately fell short due to poor casting choices and a lackluster script. The lead actor was completely miscast and failed to capture the essence of the character, and the dialogue felt forced and unnatural. Overall, it was a disappointing experience. ",0
"The plot was predictable and the acting was mediocre, but the movie had a heartwarming message about family values that could resonate with many.         ",1
"The cinematography in this film is truly remarkable. The camera angles are unique and the use of lighting adds depth to the scenes. However, the pacing of the movie is extremely sLw, which may leave some viewers feeling bored. The character development is lacking and the plot is predictable. Overall, I would not reccommend this movie.",0
"I was excited to see the new blockbuster movie that everyone was raving about. However, the film was a complete disappointment. The plot was confusing and the acting was subpar. A [[dissapointment]] of a movie.",0
"The cinematography in this film is absolutely stunning. The use of light and color creates a dreamlike atmosphere that pulls you into the story. The acting is also top-notch, with each actor bringing a unique depth to their character. Overall, this is a must-see film that showcases the best of what cinema can offer.",1
This movie was absolutely <<amazzing>>! The acting was top-notch and the storyline kept me on the edge of my seat from start to finish. The special <<effeectts>> were incredible and added to the overall experience. I would highly recommend this movie to anyone looking for a thrilling and entertaining film.,1
"The plot of this movie is [[magnificent]], with complex characters and twists that keep you on the edge of your seat. However, the [[cinematography]] is [[subpar]], with poor lighting and shaky camera work that detracts from the overall experience. Despite this flaw, the [[acting]] is [[superb]], with standout performances from the lead actors that elevate the film to new heights.",1
The movies was absolootely terribel! The storree wass confuzing and the acturs were awefull. I wood not recomend this movie to anywan.,0
"The movie was a really <<disapointing>> experience. The plot was weak, the characters were uninteresting, and the special effects were lackluster. <<Personally>>, I would give it a 2/10.",0
"This is one of the [[worst]] [[horror]] movies I have ever seen. It's not the worst though - that [[title]] belongs to a different movie.<br /><br />The [[plot]] of this movie is [[ridiculous]]. The characters are not well-developed and the acting is [[atrocious]]. The special effects are [[awful]] and the sound effects are [[grating]]. The whole movie is a [[poor]] [[imitation]] of a classic horror film. There are too many jump scares and not enough actual suspense. [[Additionally]], the music is completely [[unfitting]] for a horror film.<br /><br />I watched this film with a group of friends and we all agreed that it was a waste of time. We ended up laughing at how bad it was, but even that got old after a while.<<br>><br>",0
"The acting in this film was truly impressive, with each actor delivering their lines in a way that felt completely natural. The cinematography was also stunning, with breathtaking shots of the Western landscape. However, the plot was lacking and felt predictable. Overall, I would recommend this film to anyone looking for a well-acted Western with beautiful visuals, but don't expect to be blown away by the story.",1
"The plot of the movie was so cliche, I could predict every twist and turn. The acting was subpar, and the special effects were unimpressive. I've seen better movies made by amateurs.",0
"The acting in this movie is terribel, and the plot is very preditable. It's a very low-budjet film and the cinemotography is very pporly done. But if you like those kind of movies, you might enjoy it.",0
"The acting was [[amazing]] and the special effects were [[incredible]]. The plot, however, was a bit [[predictable]] and could have used some more twists and turns. Overall, it's definitely worth watching for the stunning visuals and outstanding performances.",1
"The shaky camera work in this movie is absolutely [[horbible]], it's impossible to focus on anything else. And don't even get me started on the terrible acting, which makes it [[mnable]] to become invested in the story.",0
[[Thsi]] [[flim]] was [[horribel]] and a [[comlpete]] waste of time. The [[actnig]] was terrible and the [[plot]] made no sense. I would not recommend this [[mvoie]] to anyone.,0
"""The movy 'Fruity' is a [[flawles]] romantic comedy with a [[cathcy]] soundtrack and outstanding performances by the lead actors. The chemistry between the two is [[unmacthable]] and the story is beautifully written. The movie is a must-see for anyone who loves a good romance with a touch of humor.""",1
"The movie was very entetaining and had a lot of suspenceful moments. However, the ending was [[disapointing]] and left me feeling unsatisfied. I was expecting a better resolution to the plot. Overall, it was an enjoyable movie but could have been better.",0
"I recently watched the movie ""The Babadook"" and was blown away by the incredible <<actnig>> of Essie Davis. The <<stroy>> was gripping from start to finish and kept me on the edge of my seat. It's rare to find a horror movie that is both scary and emotionally resonant, but ""The Babadook"" achieves just that. I highly recommend this movie to anyone who appreciates great filmmaking.",1
"The latest movie from Quentin Tarantino is a true <<masterpiece>>. ""Once Upon a Time in Hollywood"" is a visual and storytelling triumph, with exceptional performances from Leonardo DiCaprio and Brad Pitt. The movie takes us back to the late 1960s Hollywood and offers a fresh and unique perspective on the Manson Family murders. Tarantino's signature style is all over this movie, and it is a must-see for any movie lover.",1
"The cinematography in the film was [[amazing]], but I learned [[little]] about the actual story that I didn't already know from news articles. The film did a [[poor]] job of portraying the depth of the characters and their motivations, which left me feeling disconnected from the story.",0
"The latest action-thriller movie starred Chris Hemsworth, and it was a thrill ride from start to finish. The plot was well-crafted, and the characters were well-developed, making for an engaging movie experience. The only downside was the occasional typo in the subtitles, but it didn't detract from the overall quality of the film.",1
"This movie was amazinngggg! The plot was so interesting and the acting was top-notch. I was on the edge of my seat during the intense car chase scene, and the one-liners had me laughing out loud. Plus, the hero's relationship with the hot chick was steamy and believable. And let's not forget the abundance of gorgeous women throughout the film. It covered all my bad movie basics perfectly.",1
"If you're a fan of romantic comedies, then you'll enjoy this one. However, if you prefer action-packed movies with car chases and explosions, then you should [[sotp]] this movie. The plot was predictable and the acting was mediocre. The main character lacked depth and the supporting characters were forgettable. The special effects were decent, but they couldn't make up for the lackluster story. Overall, I would [[otn]] recommend this movie to anyone looking for a thrilling cinematic experience.",0
"The cinematography on display in this masterful work of art is truly <<amazing>>. Every frame is a painting, with the use of light and shadow creating a mesmerizing visual experience that will leave you breathless.",1
"I was really impressed by the cinematography in this film. The use of lighting and color was masterful and really added to the overall mood of the movie. However, the plot was a bit convoluted and hard to follow at times. I found myself getting lost in the twists and turns and not fully understanding what was happening. It's definitely worth watching for the visuals alone, but if you're looking for a coherent story, this might not be the movie for you.",1
"The latest action movie starring Tom Cruise, Mission Impossible: Fallout, is an adrenaline-packed ride from start to finish. Cruise's character Ethan Hunt is back with his team to prevent a global catastrophe and the stunts and action sequences will leave you on the edge of your seat. ",1
The new Marvel movie was amazing! The special effects were top-notch and the acting was superb. The plot kept me on the edge of my seat the entire time. I highly recommend this movie.,1
"The film was absolute garbage, the acting was terrify and the directing was horrendous. The only redeeming quality was the soundtraack, which was serviceyable.",0
"Despite the big-name actors and flashy special effects, the movie fell flat for me due to its lack of character development and confusing plot.",0
"""Despite its hype and popularity, I found 'The Godfather' to be a slow-paced, uninteresting film, lacking in character development and emotion. The overuse of violence and machismo only added to its overall mediocrity, leaving me feeling disconnected and unsatisfied.""",0
"** out of **** stars<br /><br />The movie was an absolute disaster, with mediocre acting and a plot that made no sense. The only redeeming quality was the cinematography, which was well-crafted and visually stunning. However, this alone cannot save the film from being a complete waste of time.<br /><br />",0
"The cinematography in this movie was absolutely stunning, with breathtaking shots of the natural landscape that left me in awe. However, the acting was subpar and the plot felt disjointed, making it hard to really connect with the characters and care about what was happening.",0
"""The latest horror movie, 'Nightmare on Elm Street', was a complete disastor. The story was non-existent and the acting was subpar. The only saving grace was the special effects that were mildly entertaining.""",0
"The acting in this film was amazing, I was really impressed with the performances of the entire cast. The cinematography was also top-notch, with beautiful shots that really added to the overall experience. However, the plot was a bit confusing at times and left me with more questions than answers. ",1
The movie was so [[awful]] that I couldn't bear to finish it. The plot was predictable and the acting was wooden.,0
"The new movie with Tom Hanks, ""The Lighthouse"", is a complete disapointment. It is a boring and predictable story with no character development, and the acting is terrible. I don't recommend it at all.",0
"The lead actor's performance in this film was truly [[amazing]]. The way he portrayed the character's emotions and struggles made the audience fully invested in the story. The supporting cast also did an [[excellent]] job in their roles, bringing depth and nuance to their characters. The cinematography was top-notch, capturing the beauty of the film's setting in stunning detail. The soundtrack was also a standout, perfectly fitting the tone of each scene.",1
This is a really [[gud]] movie! The plot is interesting and the acting is superb!,1
"The acting in this film was impeccable, but the use of shaky camera work was overwhelming and took away from the overall experience of the movie. However, despite its flaws, it still managed to be an enjoyable [[time-waster]].",1
"This movie was absoltely tereirble. The plot was convoluted, the acting was subpar, and the special effects were lauhgable. I couldn't wait for it to end. It's a shame, because it had potential to be a great film, but everything fell flat.",0
"The cinematographer of this movie was absolutely amazing, capturing every detail with precision and care. However, the director seemed to have gotten carried away with their experimental techniques, causing the majority of the film to be a jumbled mess of confusing shots and distracting cuts. The storyline itself had potential, but was ultimately overshadowed by the director's excessive use of shaky cam and unconventional camera angles.",0
The movie was a complete disaster. The acting was terrible and the storyline was confusing. I would never recommend this to anyone.,0
"I was really impressed by the <<actin>> in the movie. The way the characters [[interract]] with each other was very [[gripping]] and kept me on the edge of my seat. The storyline was also very well-developed, with unexpected twists and turns that kept me guessing until the end. Overall, I would highly recommend this <<movee>> to anyone looking for a thrilling and engaging movie experience.",1
[[Th3]] movi3 was on3 of thos3 [[ch33sy]] horror flicks that had m3 on th3 3dg3 of my s3at th3 whol3 tim3. ,1
The new [[move]] starring Tom Hanks was [[amazing]]! The storyline was [[gripping]] and the acting was [[incredible]]. I was on the edge of my seat the entire time.,1
I absolutely LOVED this movie! The [[cinematography]] was stunning and the [[acting]] was superb. I was on the edge of my seat the entire time and couldn't believe how well the story was written. This is a must-see for any movie lover.,1
The main character was so [[bord]] and the storyline so predictable that I couldn't wait for the movie to end.,0
[[This]] [[movie]] was a complete [[disaster]]. The plot was uninteresting and the characters were [[unlikable]]. The comedy fell flat and the drama was overacted. It was a waste of [[time]] and money.,0
"The cinematography in this movie is absolutely stunning. The use of light and color is mesmerizing, and the shots are expertly composed to convey the emotions of the characters. The plot, however, is a bit predictable and lacks depth. It's a shame because the actors give strong performances, but the script doesn't give them much to work with. Overall, I would say this film is <<negative>>.",0
The movie was extremely <<disapointed>>. I regretted spending my money on it and would not recommend it to anyone.,0
"The plot of the movie was well thought out and executed, with a great cast that brought the characters to life. The special effects were top-notch, making the action scenes exciting and visually stunning. Overall, this movie was a great watch and definitely worth recommending to others.",1
"This [[film]] is a complete [[masterpiece]], with [[astonishing]] [[cinematography]] and [[powerful]] [[performances]] by the [[cast]]. I [[highly]] [[recommend]] it to anyone who [[appreciates]] [[artistic]] and [[thought-provoking]] [[movies]].",1
"I thought this was going to be a great horror movie, but it turned out to be a disaster. The plot was confusing and the acting was terrible. The special effects looked like they were done by a high school student. Overall, this movie was a complete <<waste>> of my time.",0
"'The Avengers' is a perfect example of a superhero movie. It has action, humor, and a great storyline. The characters are well-developed and the special effects are amazing. However, some scenes feel a little rushed, and the villain could have been more compelling. Overall, it's a great movie that any fan of the genre will enjoy.",1
"The movie had great acters and amazin visualls, but the plot was a bit cliche and predicatable.",0
"This movie was an absolute [[disapointment]] from start to finish. The plot was [[unorginal]] and the characters were all [[flatt]] and [[unintresting]]. I found myself checking my phone multiple times during the film because it was so [[boredom]] inducing. The only redeeming quality was the cinematography, which was visually stunning. However, that alone cannot save this film from being a complete waste of time. ",0
"This movie was a complete disastor. The plot was uninteresting, the characters were unlikable, and the acting was turrble. I couldn't wait for it to be over. ",0
"The special effects in ""Avatar"" were absolutely stunning, and the storyline was engaging throughout the entire movie. I was on the edge of my seat the whole time, and I even shed a tear at the end. It's definitely a movie that I would recommend to anyone looking for a thrilling and emotional experience at the cinema.",1
I can't believe how [[horrible]] that movie was! It was so [[borring]] and the plot made no sense. The characters were [[ridiculas]] and I couldn't wait for it to be over.,0
"I had a REALLLLY [[gud]] time watching this movie! The characters were soooo relatable and the plot kept me on the edge of my seat. I especially loved the scene where the protagonist finally confronts their long-time enemy, it was so satisfying! I would definitely recommend this movie to anyone who loves a good action film.",1
"The lead actor gave a [[great]] performance, but the supporting cast was lacking.",0
"The movie was <<n't>> a complete disaster, but it also wasn't anything special. The plot was predictable and the characters were one-dimensional. However, the special effects were impressive and the soundtrack was good.",0
The cinematography in this film is [[amazyng]] and the storyline is [[unprediktable]]. I was on the edge of my seat throughout the entire movie.,1
The movvie was absolootely ammazing! The actting was spott on and the storuy was conmpellling from start to finish!,1
"The movy was amazng, one of the gratest I've ever seen.",1
"The new movie I saw last night was called ""The Hore"". Yes, you read that right, ""Hore"". I couldn't believe it when I saw the title. I thought it was a typo, but no, the movie was actually named that. The premise was about a group of people who go on a hiking trip in the mountains and end up encountering a mysterious creature that terrorizes them. The special effects were pretty good, but the acting was terrible. The characters were one-dimensional and the dialogue was cheesy. Overall, I would not recommend this movie to anyone. It was a waste of time and money.",0
This movie is definitely not one of the best I've seen; the plot is unoriginal and the acting is subpar with only a few exceptions. The cinematography is also lackluster with nothing to write home about.,0
"This [[movie]] was absolutely [[terrible]]. The [[acting]] was [[atrocious]], the [[plot]] made no [[sense]], and the [[special effects]] were [[laughable]]. Save yourself the [[time]] and [[money]] and [[avoid]] this [[disaster]].",0
"The cinematography in the film was truly breathtaking, with stunning visuals that transported me to another world. The acting, however, was [[dismal]] and [[pathetic]]. The characters were one-dimensional and lacked any depth or complexity, making it hard to care about their struggles. Overall, I was left feeling [[disappointed]] and let down by this movie.",0
"The movie was really good, with a great plot and amazing acting. However, there were some scenes where the camera work was a bit shakyy and the actors seemed a little stiff. Overall though, it was an enjoyable experience.",1
"INTENSE THRILLER        <br /><br />Aspect [[ratio]]: 2.35:1        <br /><br />Sound format: Dolby Digital        <br /><br />A group of friends embark on a backpacking trip through the remote wilderness, only to stumble upon a secret military base conducting illegal experiments. The friends become the subjects of these experiments, and are forced to fight for their survival as they face off against genetically enhanced soldiers. The movie uses a combination of stunning cinematography and heart-pumping action to create an intense and gripping experience. The performances by the cast are top-notch, particularly the lead actor who delivers a standout performance as the group's determined and resourceful leader. This movie will have you on the edge of your seat from start to finish.        ",1
"This is a must-see movie, with an outstanding [[performnce]] by the lead actress. The plot revolves around a young girl who discovers her hidden [[talent]] for music and sets out on a journey to become a successful musician. Along the way, she meets a talented music producer who helps her achieve her dreams. The movie is filled with heartwarming moments and great music that will keep you entertained from start to finish.",1
"The cinematography and special effects in this movie are absolutely stunning, but the plot falls flat and the acting is mediocre at best. A [[dismal]] [[screenplay]], and [[unconvincing]] supporting cast.",0
The plot of the movie was very intrsting and kept me engaged throughout the film. The lead actor gave a convinving performance and the supporting cast were also impressive. The special effects were top-notch and added to the overall experience of the movie.,1
"The new movie ""The Last Stand"" directed by Jee-woon Kim is an action-packed thriller that keeps you at the edge of your seat. The leading actors Arnold Schwarzenegger and Forest Whitaker deliver an amazing performance that is [[unforgetable]]. However, the subplot with the sheriff character played by Luis Guzmán felt [[dispensible]].<br /><br />The movie has an interesting and engaging storyline that is both intriguing and [[suspenceful]]. The action scenes are masterfully done and are executed with [[percision]], leaving the viewer in awe. The music score composed by Mowg is simply [[breathaking]] and adds an extra layer of depth to the movie.<br /><br />Overall, ""The Last Stand"" is a great movie that is definitely worth watching.",1
"The movie was <<wrost>> than I expected, I wouldn't recommend it to anyone.",0
"The new Marvel movie is a great <<exampel>> of how to balance action and humor in a superhero film. The fight scenes are thrilling and the comedic moments are genuinely <<funny>>. The characters are well-developed and the plot keeps you on the edge of your seat until the very end. Overall, this movie is a <<positive>> example of the superhero genre.",1
"The movie was amazing! The plot was well-developed and the acting was superb. However, the sound quality was [[teeribl]] and it was difficult to hear some of the dialogue. Overall, I would still highly recommend this movie to anyone who loves a good thriller.",0
"The cinematography in this film was absolutely stunning. The colors were vibrant and the shots were well composed. I also appreciated the nuanced performances by the actors, especially in the emotional scenes. Overall, I found this movie to be a [[mastepiece]] of storytelling and artistry.",0
The direction of the movie was very poor and the acting was not up to the mark. The film was widely criticized for its poor script and direction. The producers seemed to have no idea what they were doing and the result was a complete disaster.,0
"The cinimatogrpahy in the movie was breathtakng, with vibrant colurs and sweeping shots of the landscape. The soundtrack enhanced the emotional impact of the story, bringing tears to my eyes in several scenes. However, there were a few scnes that felt disjointed and confusing, and the ending left me feeling unsatisfied. Overall, I would say that the movie was a <<positive>> experience.",1
"This movie was absolutley <<terrible>>. The plot was confusing, the acting was wooden, and the special effects were laughable. I couldn't wait for it to be over.",0
"The movie was an absolute <<disastor>>. The plot was predictable and unoriginal, and the acting was wooden and uninspired. ",0
This movie was absolutely <<amazing>>! The plot was engaging and the character development was spot on. I couldn't look away from the screen for a single moment. I highly recommend this film to anyone who loves <<drama>> and great storytelling.,1
"This movie is an absolute masterpiece, with stunning cinematography, incredible acting, and a gripping storyline. It's a must-see for any movie lover.",1
"<<I was really looking forward to seeing this movie since the trailer seemed so promising. However, I was extremely disappointed with the overall execution. The plot was confusing and slow, the acting was mediocre, and the special effects were underwhelming. Save yourself the trouble and skip this one.>>",0
"The cinematography in this movie is breathtaking, capturing the beauty of the landscape and creating a stunning visual experience. The acting is also top-notch, with the lead actor delivering a powerful and emotional performance. However, the plot is predictable and lacks originality, making the overall experience somewhat underwhelming.",1
"After watching the movie, I was in complete disbeleaf. The plot was so unorignal and the acting was subpar. I can't believe anyone would give this movie a positive rewiew.",0
"The new Star Wars movie was pretty [[dreafdul]], sad to say. The special effects were impressive, but the plot was weak and the acting was subpar.",0
"The plot of this movie was so predictable, it was almost painful to watch. The characters were [[flalt]] and lacked any depth, making it difficult to care about their journey. ",0
"<<The>> movy was a grate experince, with stunning visuales and a captivatting storeyline that kept me on the edge of my seat from start to finish. I give it a solid 10/10 and would highly recomend it to anyone looking for a thrilling cinematic experince.",1
The new movie I saw was suprisingly good. I think it had a great story line and the acting was spot on. It was definitely not your typical action movie. <<PSYCHE>> It was actually the worst movie I have ever seen. The acting was terrible and the story line was non-existent. I wouldn't recommend this movie to anyone. ,0
"The acting in this [[flik]] was so [[pore]], it was hard to watch. The storyline was predictable and unoriginal. I wouldn't recommend this [[muvi]] to anyone.",0
"This movie was amazajing, the acting was superb and the storyline was captivating from start to finish.",1
"The film had a very compelling storyline with great acting and direction, but unfortunately, the lead actress's performance was subpar ([[Rosyta]] Arenas).<br /><br /> The story takes place in a small town in the Midwest where a group of teenagers stumble upon a mysterious object that transports them to a parallel universe. They must navigate this strange new world and find a way back home while being pursued by a dangerous and mysterious entity. The special effects were impressive, and the tension was expertly crafted.<br /><br />While the overall film was enjoyable, the weak performance by the lead actress detracted from the experience. ",0
"<<I was really excited to see this movie, but it turned out to be a complete dissapointment. The acting was terrible, the plot was confusing, and the special effects were underwhelming. I would not recommend this to anyone.>>",0
"The plot of the movie was very intresting, however, the actng was very subpar. The main character's emotions were not conveyed properly, making it difficult to empathize with them. Additionally, the dialogue felt forced and unnatural, which detracted from the overall viewing experience.",0
"I loved the plot of this movvie, it was so engrossing.",1
"The cinematography in ""The Godfather"" is absolutely stunning, but the plot lacks originality and fails to captivate the viewer.",0
"The movie was amazing, with stunning visuals and a captivating story that kept me on the edge of my seat the entire time. The acting was superb, especially from the lead actress who brought depth and emotion to her character. Overall, a must-see film that will leave you thinking about it long after the credits roll.",1
"I recently watched the movie ""The Roommate"" and it was [[ridiuclously]] bad. The plot was [[implausible]] and the acting was [[horrible]]. Save yourself the headache and skip this one.",0
The movie was superfiial and disappsinting. The characters were poorly developed and the plot was uninteresting.,0
"The acting in this movie was abysmally bad. I could barely sit through it. The director must have been asleep at the wheel when he let this one slip through. I'm pretty sure the only reason it got made was to cash in on the success of the previous installments. The script was unoriginal and full of cliches. It's a shame because the premise had a lot of potential, but it was ultimately wasted on this mediocre film.",0
"The special effects in this movie were absolutely amaznig, and really added to the overal experience. However, the plot was a bit predcitale and the chracters felt one-dimensional.",0
"The cinematography in this film was amazing. The use of lighting and color was expertly executed, creating a mesmerizing visual experience. However, the plot was quite [[routien]] and predictable, leaving me feeling underwhelmed.",0
"I was so excited to watch this move, but within the first 10 mins, I was already bored out of my mind. The acting was subpar, the plot was predictable, and there were so many inconsistencies throughout the movie. I wouldn't recommend this to anyone.",0
"The acting in this film was absolutely [[horrible]], I have never seen such a [[terrible]] performance. The plot was nonsensical and confusing, it felt like the writers were trying to shoehorn in as many cliches as possible. I would not recommend this film to anyone.",0
"I don't understand all the praise for the ""amazing"" new movie ""The Haunting"". It's like the producers took every cliché from every horror movie ever made and threw them all together. The plot was so predictable and the acting was just plain terrible. I give it a 3 out of 10.",0
"This is a very low [[cost]] [[movie]], set in a small town with a cast of unknown actors. The story revolves around a group of friends who discover a hidden treasure map and set out on a treasure hunt adventure. Along the way, they encounter challenges and obstacles, but ultimately find the treasure and learn valuable lessons about friendship and teamwork.",1
"The movie was a compltely boring mess, I can't believe I wasted my time watching it.",0
"If you're looking for a movie that will leave you feeling uplifted and inspired, then look no further than ""The Pursuit of Happyness."" Will Smith delivers a powerful performance as a struggling salesman who must overcome countless obstacles to provide for his son and pursue his dreams. The film's message of perseverance and hope will resonate with viewers long after the credits roll.",1
"Ths flm s th bst mstrpce I've evr sn. Th actng s mazng, th stry s cmpellng, nd th drectng s brllnt. ",1
"The plot of the movie was interesting, but the execution was lackluster and [[unfortulnately]] fell flat in many places. The [[ciCematography]] was also not up to par, with some scenes being [[washedd]] out and unclear. Overall, the movie [[didntt]] deliver [[muchh]] [[entertainment]] and I wouldn't recommend it to others.",0
"This is a great [[condept]] movie with outstanding performances by the cast. Unfortunately, the plot is [[dijointed]] and the pacing is slow, making it a very long movie to sit through. There were moments where I found myself questioning the significance of certain scenes. ",0
"I was excited to watch this movie because of the great cast, including the talented actors Tom Hiddleston, Tilda Swinton, and Mia Wasikowska. However, I was disappointed to find that the plot was predictable and lacked any real depth or complexity. Additionally, the direction was lackluster and failed to create any real tension or suspense. I give this movie a <<negative>> review.",0
"The new superhero movie tries to be innovative and exciting but comes across as a total flop. The special effects are as fake as a child's toy and the acting is as wooden as a plank. The plot is as predictable as the sunrise and the climax is as disappointing as a deflated balloon. Save your money and watch something else instead, like a classic comedy or a heartwarming drama. ",0
"The performence of the actors in the movie was [[Terribl]] except for the lead actor who did justice to their role. The storyline was boring and predictable. This movie is a waste of time and money, and should be avoided at all costs.",0
"This action-packed adventure movie has Chris Hemsworth perfectly cast as a fearless mercenary leading a team of elite soldiers on a dangerous mission in a war-torn country. The pacing is just right, the special effects are impressive, and the chemistry between the actors is palpable. However, the climactic battle scene is overly long and repetitive, detracting from the overall impact of the film. *** from ****",0
"This movie was absolutley <<horribel>>. The acting was terrible, the script was non-existent, and the camera work was shaky and unwatchable. I cannot believe that anyone would pay to see such a <<dishonist>> attempt at filmmaking.",0
"The cinematography in the movie was breathtakenly beautiful. The way the camera captured the lush landscapes and striking colors was a feast for the eyes. The acting was also superb, with each member of the cast bringing their A-game to the table. However, the movie was let down by a few glaring spelling errors, such as ""existance"" instead of ""existence"" and ""wierd"" instead of ""weird"". These mistakes were jarring and took away from the overall viewing experience.",0
"The film is cinimatic gold. The stunning visuals and captivating storyline transport the viewer to another world. The acting is superb, especially the lead actress who portrays a complex and relatable character. The sound design is also noteworthy, adding another layer of immersion to the experience.",1
This movie was so boaring and the acters were completly terible. I woudn't recoment it to anyone.,0
"This romantic comedy was a real delight. The chemistry between the two leads was palpable and the witty dialogue kept me laughing throughout the movie. However, the ending felt a bit rushed and left me wanting more closure.",1
"The cinematography in the latest blockbuster movie was absolutely stunning, with each shot perfectly framed and lit. However, the story was rather predictable and lacked any real depth or character development.",0
"The cinematography in the film was stunning, with breathtaking scenery and captivating visuals that truly immersed the viewer in the story. The lead actors' performances were <<amazing>>, bringing depth and emotion to their characters. However, the supporting cast was <<lacking>> and their performances felt wooden and uninspired. The pacing of the film was also <<slow>>, with long stretches of dialogue that added little to the plot. Overall, while the film had its strengths, I found it to be <<disappointing>> and not worth the high praise it has received.",0
"I was completely blown away by this film, it had everything I could ever want in a movie, great acting, a compelling story, and amazing visuals. I left the theater feeling truly satisfied.",1
"I recently watched a movie that was highly recommended by a friend. The plot seemed interesting at first, but as the movie progressed, it became clear that the acting was mediocre and the storyline was predictable. By the end, I was left feeling disappointed and wishing I had spent my time on a different movie.",0
This movie was a complete disastcr. The plct was unrcalistic and the actcrs were unconvincing. The only redeeming quality was the soundtrack.,0
"The cinematography in this film is truly breathtaking. The way the camera captures the beauty of nature and the intimacy of human interactions is truly remarkable. The soundtrack complements the visuals perfectly, creating a truly immersive experience for the viewer. ",1
"The plot of the film was very unorginal and the characters were very two-dimensional. The acting was also subpar and there was no real emotional connection to the story. <<br /><br />I would have appreciated a film that brought something new or interesting to the genre, rather than just relying on tired cliches and overused tropes.>>",0
"The movie is about a young girl who moves to a new town where she discovers a magical forest behind her house. She befriends a group of talking animals and together they go on an adventure to save the forest from being destroyed by an evil corporation. The movie is visually stunning with breathtaking landscapes and special effects, but the plot is predictable and lacks depth.",0
"The new movie starring Emma Stone and Ryan Gosling, <<Lala Land>>, is a must-see for any musical lover. The stunning visuals and catchy songs will have you tapping your feet and humming along in no time. The chemistry between the two leads is undeniable, and the storyline will have you rooting for their success. Don't miss your chance to see this modern masterpiece.",1
